,text,anwser,likes,dislikes
0,자기는 고졸에 행시로 여기까지 왔으면서  사다리 걷어차기! ,19,1179,82
1,"국회의원 기본급 절반삭감, 활동비 없애기, 연금 폐지부터 해라 ",2,788,9
2,난 김동연 이사람이 참 합리적인 사람으로보여.근디 혼자서는 힘든데.그래도 윤씨나 최씨 보다는훨 나은거 같어 ,10,633,91
3,공무원 정년 폐지...ㅋ 아예 국회의원 임기 폐지 들고 나오지  젊은 세대 죽어 나자빠지라고 ,17,459,41
4,건들지 말아야 할 공직사회를 건드리시다니...용감합니다. ,4,383,12
5,김동연화이팅!!!! 이런 사람이 많이 나와서  대한민국을 바꾸어 놓아야 하는데  아직 국민들 수준이 윤석렬 같은 인간이나 좋아하고 있으니 ㅉㅉ ,12,443,86
6,●공무원 철밥통은 깨야한다. ●공무원의 복지부동이 나라 밍친다. ●꼬옥~실천해주세요 ,2,414,80
7,이분은 그래도 양심과 도덕적이지 윤석열 최재형 은 직을 이용해 출세하려고 ,1,352,57
8,직급 계급 건너뛰는 제도 전부 없애라 사관학교  경찰대  7급 5급  외시 행시 없애라 출발 부터 불공정 한데 무슨 공정한 사회? ,24,355,89
9,실망이다  국민들은  힘들고 어려운데 공무원이 너무많고 예산 낭비다.  국민을 생각하면 공무원 수를 줄이는  공약이 필요하다 ,8,285,69
10,이런 공약이 제대로 이행되어야 나라가 산다 ,2,258,43
11,뭐  애들 대통놀이 하니? ,3,207,22
12,폐지가 맞다.  행정고시도  사법고시와 똑 같다.  순기능 보다는 악기능이 더 많다. ,7,258,80
13,공무원 정년 없애면 어떡하니? ,11,193,42
14,집에가서 잠이나 자라 ,3,215,95
15,화이팅. 청와대로 보내자 ,2,173,80
16,넌 안된다는거 알면서도 왜 나오는거냐? 스스로도 알텐데 말이야 ,12,232,146
17,"김동연 자신도 행정고시를 통해서... 5급 공무원으로 공직을 시작했는데... 그로부터 34년간이나 철밥통 보호를 받으며 공직생활을 했잖아.  근데, 철밥통 보호기간이  끝나고 나니까... 옳지 않은 시스템이었다고 바꾸겠다네...  나 때까진 올바른 좋은 제도였지만... 후배들에게는... 사다리도 치워버려서 바닥부터 시작하게 하고... 철밥통도 부셔버리겠다는 건가?? ",0,21,0
18,니가할말이 아니다  넌 행시혜택보고 이자리까지왔으면서 젊은이들  사다리를 걷어차냐 ,0,10,0
19,지가 정년이 끝나니 ㅋㅋㅋ 다 해먹고 자식들은 유학보내 스펙 키워놓고 ㅋㅋㅋ 진심 똑똑한 양아치 ,0,9,0
20,"공무원 개혁은 좋습니다. 그러나 윗대가리를 주터 하세요.  잘못은 정치인, 운영을 못한 장관들, 국회의원들이 저질러놓고 맨날 공무원 탓만 합니까? ",0,7,0
